,id,last_scraped,source,name,host_id,host_name,hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_location,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,price_quote_checkin_date,price_quote_checkout_date,price_quote_total_price,price_quote_price_per_night,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_ly,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,calculated_host_listings_count,calculated_host_listings_count_entire_homes
673,51508868,2026-07-02,previous scrape,Heart of downtown walking distance to Parliament4,79847570,May,9,11,9,6,Canada,t,4,t,Rideau-Vanier,45.43095,-75.69581,Entire rental unit,Entire home/apt,4,1.4,1.0,2.0,151.14,2026-07-09,2026-07-19,1511.35,151.14,1.0,250.0,t,23,53,83,353,2026-07-02,72,1,4,2021-09-03,2026-05-24,4.72,4.65,4.9,4.88,4.94,4.54,1.22,5,5
674,51511213,2026-06-24,city scrape,1 Guest for Shared Furn’d 3Bedr. Apt 5min to Ott.U,34602819,Christine,11,0,11,0,"Ottawa, Canada",t,13,t,Rideau-Vanier,45.42706,-75.67646,Private room in rental unit,Private room,1,1.0,2.0,1.0,49.21,2026-07-15,2026-08-14,1476.19,49.21,30.0,1125.0,t,9,39,42,225,2026-06-24,16,2,1,2022-02-26,2026-05-17,4.81,4.69,4.81,4.81,4.88,4.5,0.3,13,3
675,51534503,2026-06-24,city scrape,Lovely - 1 bedroom apartment unit in Ottawa,417479317,Mike,4,10,4,10,"Ottawa, Canada",t,1,t,College,45.35775,-75.74151,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,95.9,2027-03-01,2027-03-31,2877.0,95.9,30.0,1125.0,t,0,0,0,115,2026-06-24,127,4,14,2021-08-15,2025-12-20,4.91,4.93,4.94,4.92,4.91,4.89,2.15,1,1
676,51538123,2026-06-24,city scrape,"Stunning 2 bed, 2 bath by the General Hospital",85297148,Short And Suite BnB,9,11,9,4,"Ottawa, Canada",t,51,t,Alta Vista,45.40223,-75.64431,Entire condo,Entire home/apt,3,2.0,2.0,2.0,191.55,2026-07-25,2026-08-24,5746.59,191.55,30.0,365.0,t,0,29,33,87,2026-06-24,15,0,2,2021-08-29,2025-06-01,4.4,4.47,4.6,4.2,4.87,4.4,0.26,28,28
677,51551691,2026-06-24,city scrape,1 Guest/ Furn’d Shared 3-4 Bedr Apt. 5 min Ott. U.,34602819,Christine,11,0,11,0,"Ottawa, Canada",t,13,t,Rideau-Vanier,45.42609,-75.67651,Private room in rental unit,Private room,1,1.5,2.0,1.0,49.21,2026-09-09,2026-10-09,1476.19,49.21,30.0,365.0,t,0,0,13,288,2026-06-24,14,3,3,2021-12-22,2026-05-02,4.86,4.71,4.79,4.79,4.93,4.57,0.26,13,3
678,51554175,2026-06-24,city scrape,"Downtown By Beechwood Village - Relax, Walk, Shop",67179584,Ike,10,2,10,2,Canada,t,4,t,Rideau-Vanier,45.44081,-75.6642,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,133.37,2026-09-09,2026-10-09,4001.04,133.37,30.0,730.0,t,11,17,30,305,2026-06-24,23,12,9,2022-04-30,2026-06-12,4.74,4.57,4.87,4.87,4.74,4.52,0.45,4,4
679,51562498,2026-07-02,previous scrape,Private Bedroom with a Private Bathroom,147189902,Sharmilee,8,10,5,8,"Ottawa, Canada",f,2,t,Barrhaven,45.25509,-75.73898,Private room in home,Private room,1,1.4,2.0,2.0,13.98,2026-07-02,2026-10-30,1678.0,13.98,120.0,1125.0,t,30,60,90,365,2026-07-02,0,0,0,10,10,4.8,4.8,4.9,4.9,4.8,4.7,1.8,2,1
680,51565431,2026-06-24,city scrape,1 Guest for Immacul. Furn'd 3-4 Bedrms. Shared Apt,34602819,Christine,11,0,11,0,"Ottawa, Canada",t,13,t,Rideau-Vanier,45.42493,-75.67744,Private room in rental unit,Private room,1,1.5,2.0,1.0,46.07,2026-12-23,2027-01-22,1382.17,46.07,30.0,365.0,t,0,4,4,187,2026-06-24,13,1,2,2021-10-08,2025-09-14,4.54,4.31,4.85,4.62,4.92,4.23,0.23,13,3
681,51587081,2026-06-24,city scrape,New 3 BDRM Spacious & Modern Townhome with Yard,7354245,Lisa,12,11,12,10,"Ontario, Canada",t,29,t,Gloucester-South Nepean,45.25837,-75.69649,Entire townhouse,Entire home/apt,7,3.5,3.0,4.0,261.84,2026-09-15,2026-10-16,8117.03,261.84,31.0,1125.0,t,0,4,11,286,2026-06-24,16,2,1,2021-10-17,2026-03-01,4.88,4.94,4.94,5.0,4.88,4.69,0.28,20,20
682,51598311,2026-06-24,city scrape,Modern 1 bedroom | Walk to Parliament,4726491,Majella,13,5,10,0,"Ottawa, Canada",f,1,t,Rideau-Vanier,45.43098,-75.698,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,105.65,2026-07-13,2026-08-12,3169.42,105.65,30.0,1125.0,t,11,41,47,230,2026-06-24,27,3,3,2021-09-13,2025-10-31,4.93,4.93,4.96,4.93,4.89,4.7,0.46,1,1
683,51621361,2026-06-24,city scrape,1 Bedroom Suite in Great Location,144893923,Ahmed,8,10,4,10,"Ottawa, Canada",f,4,t,Gloucester-South Nepean,45.32142,-75.61001,Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,110.08,2026-08-01,2026-08-31,3302.38,110.08,30.0,1125.0,t,0,22,52,327,2026-06-24,11,1,2,2021-08-22,2025-11-02,4.91,4.91,5.0,5.0,4.73,4.73,0.19,2,2
684,51641789,2026-06-24,city scrape,"Happy Loving Peaceful Brand-new Space, find yo Zen",237272866,Thurka,7,5,4,10,"Toronto, Canada",f,1,t,Rideau-Goulbourn,45.26541,-75.88279,Private room in townhouse,Private room,2,1.5,2.0,2.0,77.92,2026-08-01,2026-08-31,2337.57,77.92,30.0,1125.0,t,6,28,58,238,2026-06-24,28,2,2,2021-08-15,2026-05-25,4.68,4.64,4.86,4.68,4.75,4.57,0.47,1,0
